path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/annotated/archivebot/azb_Arab/1.jsonl.zst   10851  170030 1147126 2037882
/nird/home/nikolare/hplt/public/two/annotated/archivebot/sna_Latn/1.jsonl.zst   83088  378143 6399299 6922569
/nird/home/nikolare/hplt/public/two/annotated/archivebot/mar_Deva/1.jsonl.zst   99848  953177 6248007 13028180
/nird/home/nikolare/hplt/public/two/annotated/wide12/kir_Cyrl/1.jsonl.zst 1479288 12979115 96630128 168941214
/nird/home/nikolare/hplt/public/two/annotated/cc19/ckb_Arab/1.jsonl.zst  244473 4885656 31877361 57466915
/nird/home/nikolare/hplt/public/two/annotated/archivebot/tuk_Latn/1.jsonl.zst   50916  326526 2400054 3016409
/nird/home/nikolare/hplt/public/two/annotated/archivebot/ilo_Latn/1.jsonl.zst  108332  395852 2812488 2849891
/nird/home/nikolare/hplt/public/two/annotated/archivebot/szl_Latn/1.jsonl.zst  327446 1220266 7214802 7413774
/nird/home/nikolare/hplt/public/two/annotated/archivebot/kan_Knda/1.jsonl.zst   99489  819059 6756831 12766052
/nird/home/nikolare/hplt/public/two/annotated/archivebot/sot_Latn/1.jsonl.zst   42571  103731 1763931 1775475
/nird/home/nikolare/hplt/public/two/annotated/archivebot/mos_Latn/1.jsonl.zst   25374   90385  528639  580682
/nird/home/nikolare/hplt/public/two/annotated/archivebot/tzm_Tfng/1.jsonl.zst     100     402    3468    8470
/nird/home/nikolare/hplt/public/two/annotated/wide12/yor_Latn/1.jsonl.zst 2898270 19865732 139670544 176080300
/nird/home/nikolare/hplt/public/two/annotated/wide12/lug_Latn/1.jsonl.zst  499339 6116808 85449608 85616191
/nird/home/nikolare/hplt/public/two/annotated/wide12/fao_Latn/1.jsonl.zst 1116627 16624633 219672705 223185341
/nird/home/nikolare/hplt/public/two/annotated/archivebot/kik_Latn/1.jsonl.zst    2660    9221  102567  110211
/nird/home/nikolare/hplt/public/two/annotated/archivebot/grn_Latn/1.jsonl.zst  579628 3721779 24399929 25148706
/nird/home/nikolare/hplt/public/two/annotated/archivebot/zul_Latn/1.jsonl.zst  165579  903231 6707326 6970027
/nird/home/nikolare/hplt/public/two/annotated/archivebot/sin_Sinh/1.jsonl.zst   34781  382239 2478946 4631342
/nird/home/nikolare/hplt/public/two/annotated/archivebot/hne_Deva/1.jsonl.zst   37553  110764  731117  951293
/nird/home/nikolare/hplt/public/two/annotated/archivebot/hau_Latn/1.jsonl.zst  121890  507062 2843472 2876290
/nird/home/nikolare/hplt/public/two/annotated/archivebot/tsn_Latn/1.jsonl.zst   61305  249361 2420504 2435362
/nird/home/nikolare/hplt/public/two/annotated/cc19/ast_Latn/1.jsonl.zst 2180246 15643361 97538453 102595534
/nird/home/nikolare/hplt/public/two/annotated/cc19/tgl_Latn/1.jsonl.zst  866552 15178173 90931640 91672545
/nird/home/nikolare/hplt/public/two/annotated/archivebot/asm_Beng/1.jsonl.zst   35668  226195 1657106 2744139
/nird/home/nikolare/hplt/public/two/annotated/archivebot/kmr_Latn/1.jsonl.zst   13835  207616 1254579 1407099
/nird/home/nikolare/hplt/public/two/annotated/wide12/san_Deva/1.jsonl.zst 1347100 9075884 73643171 191593756
